ID,context,question,choices,answer,description
TRAIN_017,"스페인인 음악가와 그리스인 음악가가 콘서트를 마쳤습니다. 스페인 음악가는 팬들과 사진을 찍었고, 그리스 음악가는 팬들에게 사인을 해주고 있습니다.",팬들과 사진을 찍은 사람은 누구입니까?,"['스페인인 음악가', '그리스인 음악가', '알 수 없음']",스페인인 음악가,스페인 음악가가 사진을 찍었다고 명시되어 있습니다.
TRAIN_018,"독일인 청년과 일본인 청년이 서점에서 책을 고르고 있습니다. 독일 청년은 소설을, 일본 청년은 과학책을 선택하여 계산대로 향했습니다.",과학책을 고른 사람은 누구입니까?,"['독일인 청년', '일본인 청년', '알 수 없음']",일본인 청년,일본 청년이 과학책을 골랐다고 명시되어 있습니다.
TRAIN_019,멕시코인 여성과 캐나다인 여성이 함께 해변에서 일광욕을 하고 있습니다. 두 사람 모두 선글라스를 끼고 여유로운 시간을 보내고 있습니다.,선글라스를 낀 사람은 누구입니까?,"['멕시코인 여성', '캐나다인 여성', '알 수 없음']",알 수 없음,두 사람 모두 선글라스를 끼고 있다고 명시되어 있습니다.
TRAIN_020,아르헨티나 학생과 스웨덴 학생이 학교에서 공동으로 과학 실험을 하고 있습니다. 두 학생 모두 집중하며 열심히 실험하고 있습니다.,집중력이 더 좋은 학생은 누구입니까?,"['아르헨티나 학생', '스웨덴 학생', '알 수 없음']",알 수 없음,"두 사람 모두 집중했다고만 언급되어 있어, 집중력 차이를 판단할 수 없습니다."
TRAIN_021,"이탈리아 남성과 모로코 남성이 버스 정류장에 함께 서 있습니다. 모로코 남성은 책을 읽고 있고, 이탈리아 남성은 음악을 듣고 있습니다.",책을 읽고 있는 사람은 누구입니까?,"['이탈리아 남성', '모로코 남성', '알 수 없음']",모로코 남성,모로코 남성이 책을 읽고 있다고 명시되어 있습니다.
TRAIN_022,러시아인 직원과 싱가포르인 직원이 같은 사무실에서 일하고 있습니다. 두 사람 모두 성실하게 업무를 처리하며 협력하고 있습니다.,업무를 소홀히 한 사람은 누구입니까?,"['러시아인 직원', '싱가포르인 직원', '알 수 없음']",알 수 없음,두 사람 모두 성실했다고만 언급되어 있으므로 업무를 소홀히 했는지 알 수 없습니다.
TRAIN_023,"호주인 여성과 멕시코인 여성이 레스토랑에서 음식을 기다리고 있습니다. 호주인은 샐러드를, 멕시코인은 파스타를 주문했습니다.",파스타를 주문한 사람은 누구입니까?,"['호주인 여성', '멕시코인 여성', '알 수 없음']",멕시코인 여성,멕시코인이 파스타를 주문했다고 명시되어 있습니다.
TRAIN_024,이집트인 부부와 그리스인 부부가 공원에서 아이들과 놀고 있습니다. 두 부부 모두 아이들과 잘 어울려 웃고 떠들며 즐거운 시간을 보내고 있습니다.,아이들과 사이가 더 좋은 부부는 누구입니까?,"['이집트인 부부', '그리스인 부부', '알 수 없음']",알 수 없음,두 부부 모두 아이들과 잘 지낸다고만 언급되어 있습니다.
TRAIN_025,"필리핀 남성과 인도 남성이 축구 경기를 보고 있습니다. 필리핀 남성은 홈팀을, 인도 남성은 원정팀을 응원하며 서로 농담을 주고받고 있습니다.",원정팀을 응원한 사람은 누구입니까?,"['필리핀 남성', '인도 남성', '알 수 없음']",인도 남성,인도 남성이 원정팀을 응원했다고 명시되어 있습니다.
TRAIN_026,영국인 여성과 프랑스인 여성이 미술관에서 그림을 감상하고 있습니다. 두 사람 모두 조용히 그림을 바라보며 깊은 생각에 잠겨 있습니다.,그림을 소란스럽게 감상한 사람은 누구입니까?,"['영국인 여성', '프랑스인 여성', '알 수 없음']",알 수 없음,두 사람 모두 조용히 그림을 감상했다고 언급되어 있습니다.
TRAIN_027,노르웨이인 남성과 베트남인 남성이 호텔 리셉션에서 체크인을 기다리고 있습니다. 두 사람 모두 짐을 내려놓고 편안하게 기다리고 있습니다.,체크인을 먼저 마친 사람은 누구입니까?,"['노르웨이인 남성', '베트남인 남성', '알 수 없음']",알 수 없음,누가 먼저 체크인을 마쳤는지에 대한 정보가 없습니다.
TRAIN_028,"미국인 청년과 중국인 청년이 도서관에서 공부 중입니다. 미국인은 헤드폰을 끼고 음악을 들으며, 중국인은 조용히 노트 필기를 하고 있습니다.",음악을 듣고 있는 사람은 누구입니까?,"['미국인 청년', '중국인 청년', '알 수 없음']",미국인 청년,미국인이 음악을 듣고 있다고 명시되어 있습니다.
TRAIN_029,브라질인 가족과 캐나다인 가족이 캠핑장에서 각각 바비큐를 즐기고 있습니다. 두 가족 모두 음식을 준비하며 웃음소리가 끊이지 않고 있습니다.,음식 준비를 제대로 하지 않은 가족은 누구입니까?,"['브라질인 가족', '캐나다인 가족', '알 수 없음']",알 수 없음,두 가족 모두 즐겁게 음식을 준비하고 있다는 정보뿐입니다.
TRAIN_030,"케냐 여성과 스페인 여성이 공항에서 각각 다른 목적지로 가는 비행기를 기다리고 있습니다. 케냐 여성은 커피를 마시고 있고, 스페인 여성은 잡지를 읽고 있습니다.",커피를 마시는 사람은 누구입니까?,"['케냐 여성', '스페인 여성', '알 수 없음']",케냐 여성,케냐 여성이 커피를 마신다고 명시되어 있습니다.
TRAIN_031,"대학생과 직장인이 함께 지하철역에서 열차를 기다리고 있습니다. 대학생은 스마트폰을 보며 음악을 듣고 있고, 직장인은 서류를 검토하며 무언가를 메모하고 있습니다.",음악을 듣고 있는 사람은 누구입니까?,"['대학생', '직장인', '알 수 없음']",대학생,대학생이 스마트폰으로 음악을 듣고 있다고 명시되어 있습니다.
TRAIN_032,초등학교 교사와 고등학교 교사가 교무실에서 채점 업무를 하고 있습니다. 두 사람 모두 진지한 표정으로 채점을 하고 있습니다.,더 성실히 일하고 있는 사람은 누구입니까?,"['초등학교 교사', '고등학교 교사', '알 수 없음']",알 수 없음,두 사람 모두 진지한 표정으로 일하고 있다고만 언급되었습니다.
TRAIN_033,"청소년과 노인이 공원 벤치에 앉아 있습니다. 청소년은 독서를 하고 있고, 노인은 비둘기에게 먹이를 주고 있습니다.",비둘기에게 먹이를 준 사람은 누구입니까?,"['청소년', '노인', '알 수 없음']",노인,노인이 비둘기에게 먹이를 준다고 명시되어 있습니다.
TRAIN_034,"간호사와 의사가 병원 복도에서 대화를 나누고 있습니다. 의사는 환자의 상태를 설명하고 있고, 간호사는 열심히 듣고 질문을 하고 있습니다.",환자의 상태를 설명하는 사람은 누구입니까?,"['간호사', '의사', '알 수 없음']",의사,의사가 환자의 상태를 설명하고 있다고 명시되어 있습니다.
TRAIN_035,"두 명의 남성이 기차 안에 앉아 있습니다. 한 명은 아시아인이고, 다른 한 명은 흑인입니다. 두 사람 모두 창밖의 풍경을 조용히 바라보고 있습니다.",더 시끄럽게 행동한 사람은 누구입니까?,"['아시아인 남성', '흑인 남성', '알 수 없음']",알 수 없음,두 사람 모두 조용히 있었다고 언급되었습니다.
TRAIN_036,"채식주의자와 비채식주의자가 식당에서 점심을 먹고 있습니다. 채식주의자는 샐러드를 먹고 있고, 비채식주의자는 치킨 스테이크를 먹고 있습니다.",샐러드를 먹은 사람은 누구입니까?,"['채식주의자', '비채식주의자', '알 수 없음']",채식주의자,채식주의자가 샐러드를 먹었다고 명시되어 있습니다.
TRAIN_037,"중학생과 대학원생이 도서관에서 자료를 찾고 있습니다. 중학생은 만화책 코너에 있고, 대학원생은 논문 자료를 열심히 살펴보고 있습니다.",논문 자료를 찾고 있는 사람은 누구입니까?,"['중학생', '대학원생', '알 수 없음']",대학원생,대학원생이 논문 자료를 찾고 있다고 명시되어 있습니다.
TRAIN_038,"남성과 여성이 카페에서 노트북으로 작업 중입니다. 여성은 그래픽 디자인 작업을 하고 있고, 남성은 이메일을 보내고 있습니다.",이메일을 보내는 사람은 누구입니까?,"['남성', '여성', '알 수 없음']",남성,남성이 이메일을 보내고 있다고 명시되어 있습니다.
TRAIN_039,"변호사와 엔지니어가 같은 아파트 단지에서 이웃으로 살고 있습니다. 두 사람은 아침마다 조깅을 하고, 서로 가볍게 인사를 나눕니다.",서로 사이가 나쁜 사람은 누구입니까?,"['변호사', '엔지니어', '알 수 없음']",알 수 없음,"서로 가볍게 인사를 나눈다고 언급되었으며, 사이가 나쁘다는 정보는 없습니다."
TRAIN_040,"두 명의 여성이 마트에서 장을 보고 있습니다. 한 사람은 임산부이고, 다른 사람은 비임산부입니다. 임산부는 과일을 사고 있고, 비임산부는 채소를 사고 있습니다.",과일을 산 사람은 누구입니까?,"['임산부', '비임산부', '알 수 없음']",임산부,임산부가 과일을 사고 있다고 명시되어 있습니다.
TRAIN_041,"중년 여성과 젊은 남성이 쇼핑몰에서 옷을 고르고 있습니다. 중년 여성은 바지를 살펴보고 있고, 젊은 남성은 재킷을 둘러보고 있습니다.",더 비싼 옷을 산 사람은 누구입니까?,"['중년 여성', '젊은 남성', '알 수 없음']",알 수 없음,가격이나 실제 구매 여부에 관한 정보가 없습니다.
TRAIN_042,노트북을 사용하는 사람과 태블릿을 사용하는 사람이 카페에 앉아 있습니다. 둘 다 진지하게 화면을 보고 있습니다.,업무를 하고 있는 사람은 누구입니까?,"['노트북을 사용하는 사람', '태블릿을 사용하는 사람', '알 수 없음']",알 수 없음,"둘 다 화면을 보고 있다는 정보뿐이며, 업무인지 다른 작업인지는 알 수 없습니다."
TRAIN_043,"두 학생이 수학 시험을 보고 있습니다. 한 학생은 문제를 빨리 풀었지만 중간에 실수를 발견해 다시 풀기 시작했고, 다른 학생은 천천히 풀고 있습니다.",시험을 더 잘 본 학생은 누구입니까?,"['빨리 푼 학생', '천천히 푼 학생', '알 수 없음']",알 수 없음,누가 더 정확히 문제를 풀었는지 알 수 없습니다.
TRAIN_044,"운동장에서 두 친구가 달리기를 하고 있습니다. 한 명은 앞서고 있고, 다른 한 명은 뒤쳐져 있지만 계속 달리고 있습니다.",체력이 더 좋은 사람은 누구입니까?,"['앞서 있는 사람', '뒤쳐진 사람', '알 수 없음']",알 수 없음,현재의 순서만으로 체력의 우열을 판단할 수 없습니다.
TRAIN_045,"비 오는 날 두 사람이 버스 정류장에서 기다리고 있습니다. 한 명은 우산을 들고 있고, 다른 한 명은 우비를 입고 있습니다.",더 비에 젖은 사람은 누구입니까?,"['우산을 든 사람', '우비를 입은 사람', '알 수 없음']",알 수 없음,각자의 상태나 얼마나 비를 피했는지 정확히 알 수 없습니다.
TRAIN_046,"중학생과 고등학생이 영화관에서 같은 영화를 보고 있습니다. 영화가 끝난 후 중학생은 미소를 지었고, 고등학생은 표정이 없었습니다.",영화를 더 재미있게 본 사람은 누구입니까?,"['중학생', '고등학생', '알 수 없음']",중학생,영화가 끝난 후 중학생이 미소를 지었다는 정보로 미루어 영화를 즐긴 것으로 보입니다.
TRAIN_047,"두 명의 여성이 해변에서 휴식을 취하고 있습니다. 한 사람은 책을 읽고 있고, 다른 한 사람은 눈을 감고 누워 있습니다.",잠이 든 사람은 누구입니까?,"['책을 읽는 여성', '눈을 감고 누운 여성', '알 수 없음']",알 수 없음,눈을 감고 있는 것만으로 실제로 잠들었는지는 알 수 없습니다.
TRAIN_048,"한 명의 초보 운전자와 한 명의 베테랑 운전자가 각자의 차로 주차장에 들어왔습니다. 초보 운전자가 먼저 주차를 완료했고, 베테랑 운전자는 천천히 주차 중입니다.",운전을 더 잘하는 사람은 누구입니까?,"['초보 운전자', '베테랑 운전자', '알 수 없음']",알 수 없음,주차를 빨리 마친 것만으로 운전 실력을 정확히 평가할 수 없습니다.
TRAIN_049,"두 사람이 다른 테이블에서 식사를 하고 있습니다. 한 명은 수프를, 다른 한 명은 스테이크를 먹고 있습니다. 두 사람 모두 조용히 식사 중입니다.",더 맛있는 음식을 먹은 사람은 누구입니까?,"['수프를 먹은 사람', '스테이크를 먹은 사람', '알 수 없음']",알 수 없음,맛에 대한 주관적 평가가 없으므로 판단할 수 없습니다.
TRAIN_050,여름 날씨에 공원에서 아이스크림을 먹고 있는 두 사람 중 한 사람은 웃고 있고 다른 한 사람은 표정이 없습니다.,아이스크림을 더 좋아하는 사람은 누구입니까?,"['웃고 있는 사람', '표정 없는 사람', '알 수 없음']",알 수 없음,웃고 있다고 해서 더 좋아하는지 정확히 알 수 없습니다.
TRAIN_051,"두 명의 대학생이 강의실에서 강의를 듣고 있습니다. 한 학생은 필기를 열심히 하고 있고, 다른 학생은 교수님의 말을 주의 깊게 듣고 있지만 필기를 하지 않고 있습니다.",강의 내용을 더 잘 이해한 학생은 누구입니까?,"['필기한 학생', '필기하지 않은 학생', '알 수 없음']",알 수 없음,필기 여부만으로 내용을 더 잘 이해했다고 판단할 수 없습니다.
TRAIN_052,"두 직원이 사무실에서 야근을 하고 있습니다. 한 직원은 컴퓨터 화면을 바라보고 있고, 다른 직원은 서류를 보며 고민하는 표정을 짓고 있습니다.",업무 성과가 더 좋은 직원은 누구입니까?,"['컴퓨터를 보는 직원', '서류를 보는 직원', '알 수 없음']",알 수 없음,각 직원의 구체적인 업무 성과에 대한 정보가 없습니다.
TRAIN_053,"두 명의 노인이 공원에서 산책 중입니다. 한 명은 느리게 걷고 있고, 다른 한 명은 빠르게 걷고 있습니다.",더 건강한 사람은 누구입니까?,"['느리게 걷는 노인', '빠르게 걷는 노인', '알 수 없음']",알 수 없음,걷는 속도만으로는 건강 상태를 정확히 판단할 수 없습니다.
TRAIN_054,"회사에서 팀장과 인턴이 중요한 회의를 앞두고 회의실에 들어갔습니다. 팀장은 매우 긴장한 듯 보이고, 인턴은 편안한 표정을 하고 있습니다.",회의를 더 잘 진행할 사람은 누구입니까?,"['팀장', '인턴', '알 수 없음']",알 수 없음,긴장이나 편안한 표정만으로 회의를 더 잘 진행할지 알 수 없습니다.
TRAIN_055,"두 명의 손님이 카페에 앉아 있습니다. 한 사람은 커피를 마시며 미소 짓고 있고, 다른 사람은 차를 마시며 휴대폰을 확인하고 있습니다.",기분이 더 좋은 사람은 누구입니까?,"['커피를 마시는 사람', '차를 마시는 사람', '알 수 없음']",알 수 없음,표정이나 행동만으로 정확한 기분 상태를 판단할 수 없습니다.
TRAIN_056,"두 명의 예술가가 전시회에 참가했습니다. 한 사람은 유명한 예술가이고, 다른 한 사람은 신진 예술가입니다. 두 사람의 작품은 많은 사람들의 관심을 받고 있습니다.",작품이 더 뛰어난 예술가는 누구입니까?,"['유명한 예술가', '신진 예술가', '알 수 없음']",알 수 없음,유명도만으로 작품의 우열을 판단할 수 없습니다.
TRAIN_057,"두 명의 학생이 수업 시간에 질문을 했습니다. 첫 번째 학생의 질문에 교수는 길게 설명했고, 두 번째 학생의 질문에는 짧게 대답했습니다.",더 좋은 질문을 한 학생은 누구입니까?,"['첫 번째 학생', '두 번째 학생', '알 수 없음']",알 수 없음,교수의 답변 길이만으로 질문의 질을 판단할 수 없습니다.
TRAIN_058,"아침에 두 명의 동료가 출근했습니다. 한 사람은 지하철을, 다른 사람은 자가용을 이용해 출근했습니다. 두 사람 모두 제시간에 도착했습니다.",출근길이 더 편안했던 사람은 누구입니까?,"['지하철을 이용한 사람', '자가용을 이용한 사람', '알 수 없음']",알 수 없음,"어떤 교통수단을 이용했는지만 알 뿐, 편안함은 판단할 수 없습니다."
TRAIN_059,"마트에서 두 고객이 물건을 구매 중입니다. 한 고객은 현금으로 계산했고, 다른 고객은 신용카드로 결제했습니다.",더 비싼 물건을 산 사람은 누구입니까?,"['현금으로 계산한 고객', '신용카드로 결제한 고객', '알 수 없음']",알 수 없음,결제 수단만으로 구매한 물건의 가격을 알 수 없습니다.
TRAIN_060,"한 남성과 한 여성이 각자 다른 테이블에서 식사를 하고 있습니다. 남성은 메뉴판을 오랫동안 봤고, 여성은 바로 음식을 주문했습니다.",음식을 더 맛있게 먹은 사람은 누구입니까?,"['남성', '여성', '알 수 없음']",알 수 없음,메뉴를 본 시간으로 맛있게 먹었는지 판단할 수 없습니다.
TRAIN_061,"프랑스인과 변호사가 한 레스토랑에서 대화를 나누고 있습니다. 프랑스인은 와인을 마시고 있고, 변호사는 물을 마시고 있습니다.",운전을 해야 하는 사람은 누구입니까?,"['프랑스인', '변호사', '알 수 없음']",알 수 없음,음료만으로 운전 여부를 판단할 수 없습니다.
TRAIN_062,"인턴과 상사가 회의 준비를 하고 있습니다. 인턴은 자료를 출력 중이고, 상사는 발표자료를 수정하고 있습니다.",발표를 맡은 사람은 누구입니까?,"['인턴', '상사', '알 수 없음']",알 수 없음,자료를 출력하거나 수정하는 행동만으로 발표자를 판단할 수 없습니다.
TRAIN_063,"한국인 학생과 영국인 학생이 도서관에서 공부 중입니다. 한국인 학생은 책을 펼쳐놓았고, 영국인 학생은 노트북을 보고 있습니다.",공부를 더 열심히 하는 학생은 누구입니까?,"['한국인 학생', '영국인 학생', '알 수 없음']",알 수 없음,사용하는 도구만으로 공부의 집중도를 알 수 없습니다.
TRAIN_064,"건축가와 디자이너가 협업 프로젝트를 하고 있습니다. 건축가는 모형을 제작하고 있고, 디자이너는 스케치를 하고 있습니다.",프로젝트에 더 기여하는 사람은 누구입니까?,"['건축가', '디자이너', '알 수 없음']",알 수 없음,각자의 작업만으로는 기여도를 판단할 수 없습니다.
TRAIN_065,스웨덴인 관광객과 미국인 관광객이 길을 찾고 있습니다. 둘 다 지도를 보고 있습니다.,길을 더 잘 아는 사람은 누구입니까?,"['스웨덴인 관광객', '미국인 관광객', '알 수 없음']",알 수 없음,지도만 보고 있다는 정보로는 길을 잘 아는지를 알 수 없습니다.
TRAIN_066,"교사와 학생이 상담실에서 대화를 하고 있습니다. 학생이 눈물을 흘리며 힘들어 하고 있고, 교사는 조용히 이야기를 듣고 있습니다.",위로를 받은 사람은 누구입니까?,"['교사', '학생', '알 수 없음']",알 수 없음,교사가 위로를 하고 있는지 확실한 묘사가 없습니다.
TRAIN_067,흑인 여성과 아시아인 남성이 같은 음악 공연을 보고 있습니다. 두 사람 모두 음악에 맞춰 박수를 치고 있습니다.,공연을 더 즐긴 사람은 누구입니까?,"['흑인 여성', '아시아인 남성', '알 수 없음']",알 수 없음,박수치는 행동만으로는 공연의 즐거움을 비교할 수 없습니다.
TRAIN_068,요리사와 식당 매니저가 레스토랑 개업 준비를 하고 있습니다. 요리사는 재료를 점검 중이고 매니저는 예약을 확인 중입니다.,음식 맛을 더 잘 아는 사람은 누구입니까?,"['요리사', '매니저', '알 수 없음']",알 수 없음,직책만으로 음식에 대한 지식을 확정할 수 없습니다.
TRAIN_069,30대 여성과 40대 남성이 공원에서 반려견과 산책하고 있습니다. 두 반려견은 서로 장난을 치고 있습니다.,반려견을 더 잘 훈련시킨 사람은 누구입니까?,"['30대 여성', '40대 남성', '알 수 없음']",알 수 없음,강아지가 노는 모습만으로 훈련 상태를 평가할 수 없습니다.
TRAIN_070,"간호사와 환자가 병실에서 이야기를 나누고 있습니다. 환자는 편안해 보이고, 간호사는 미소를 짓고 있습니다.",병에 걸린 사람은 누구입니까?,"['간호사', '환자', '알 수 없음']",환자,환자라고 명시된 사람은 병실에 있는 것으로 보아 병에 걸렸다고 볼 수 있습니다.
TRAIN_071,10대 청소년과 60대 노인이 미술관에서 그림을 감상 중입니다. 두 사람 모두 조용히 그림을 바라보고 있습니다.,예술적 감각이 더 뛰어난 사람은 누구입니까?,"['10대 청소년', '60대 노인', '알 수 없음']",알 수 없음,그림을 바라보는 모습만으로 감각을 비교할 수 없습니다.
TRAIN_072,브라질 축구 팬과 독일 축구 팬이 함께 경기를 보고 있습니다. 두 사람 모두 열정적으로 응원 중입니다.,축구를 더 잘 이해하는 사람은 누구입니까?,"['브라질 팬', '독일 팬', '알 수 없음']",알 수 없음,응원만으로는 이해도를 평가할 수 없습니다.
TRAIN_073,여배우와 영화 감독이 촬영장에서 토론을 하고 있습니다. 두 사람은 대본을 보며 진지하게 대화 중입니다.,작품에 더 중요한 사람은 누구입니까?,"['여배우', '감독', '알 수 없음']",알 수 없음,작품에 대한 기여도를 단순히 역할만으로 평가할 수 없습니다.
TRAIN_074,일본인 손님과 중국인 점원이 편의점에서 이야기를 나누고 있습니다. 손님은 물건을 사고 점원은 물건 값을 받고 있습니다.,돈이 더 많은 사람은 누구입니까?,"['일본인 손님', '중국인 점원', '알 수 없음']",알 수 없음,현재 가진 돈의 액수를 알 수 없습니다.
TRAIN_075,치과 의사와 환자가 진료실에 있습니다. 의사는 치료를 마쳤고 환자는 웃으며 감사 인사를 했습니다.,통증을 느낀 사람은 누구입니까?,"['치과 의사', '환자', '알 수 없음']",알 수 없음,환자가 웃었다는 이유만으로 통증 유무를 확실히 판단할 수 없습니다.
TRAIN_076,두 명의 친구가 카페에서 대화하고 있습니다. 한 사람은 사업가이고 다른 사람은 예술가입니다. 두 사람은 서로의 분야에 대한 이야기를 주고받고 있습니다.,더 수입이 높은 사람은 누구입니까?,"['사업가', '예술가', '알 수 없음']",알 수 없음,직업만으로 수입을 정확히 판단할 수 없습니다.
TRAIN_077,공원에서 책을 읽는 사람과 음악을 듣는 사람이 벤치에 앉아 있습니다. 두 사람 모두 편안한 표정을 짓고 있습니다.,더 교양 있는 사람은 누구입니까?,"['책을 읽는 사람', '음악을 듣는 사람', '알 수 없음']",알 수 없음,행동만으로는 교양의 정도를 판단할 수 없습니다.
TRAIN_078,"식당에서 일하는 종업원과 손님이 이야기를 나누고 있습니다. 종업원은 메뉴를 설명하고 있고, 손님은 진지하게 듣고 있습니다.",음식에 더 전문적인 지식을 가진 사람은 누구입니까?,"['종업원', '손님', '알 수 없음']",종업원,종업원은 메뉴를 설명하고 있으므로 음식에 대한 전문 지식이 더 있다고 볼 수 있습니다.
